"category","n","prop","variable"
"<9th grade",278,0.048013816925734,"EDU"
"9–11th grade",457,0.0789291882556131,"EDU"
"High school/GED",1227,0.211917098445596,"EDU"
"Some college/AA",1749,0.302072538860104,"EDU"
"College or above",2079,0.359067357512953,"EDU"
